Frame,Angle,Level
217,Close-up,High Angle
218,Close-up,High Angle
219,Close-up,High Angle
220,Close-up,High Angle
221,Close-up,High Angle
222,Close-up,High Angle
223,Close-up,High Angle
224,Close-up,High Angle
225,Close-up,High Angle
226,Close-up,High Angle
227,Close-up,High Angle
228,Close-up,High Angle
229,Close-up,High Angle
230,Close-up,High Angle
231,Close-up,High Angle
232,Close-up,High Angle
233,Close-up,High Angle
234,Close-up,High Angle
235,Close-up,High Angle
236,Close-up,High Angle
237,Close-up,High Angle
238,Close-up,High Angle
239,Close-up,High Angle
240,Close-up,High Angle
241,Close-up,High Angle
242,Close-up,High Angle
243,Close-up,High Angle
244,Close-up,High Angle
245,Close-up,High Angle
246,Close-up,High Angle
247,Close-up,High Angle
248,Close-up,High Angle
249,Close-up,High Angle
250,Close-up,High Angle
251,Close-up,High Angle
252,Close-up,High Angle
253,Close-up,High Angle
254,Close-up,High Angle
255,Close-up,Worm's Eye View
256,Close-up,Worm's Eye View
257,Close-up,Worm's Eye View
258,Close-up,Worm's Eye View
259,Close-up,Worm's Eye View
260,Close-up,Dutch Tilt
261,Close-up,Dutch Tilt
262,Medium Shot,Dutch Tilt
263,Medium Shot,Dutch Tilt
264,Medium Shot,Dutch Tilt
265,Close-up,Worm's Eye View
266,Close-up,Worm's Eye View
267,Close-up,Worm's Eye View
268,Close-up,Worm's Eye View
269,Close-up,Worm's Eye View
270,Close-up,Worm's Eye View
271,Close-up,Worm's Eye View
272,Close-up,Worm's Eye View
273,Close-up,Worm's Eye View
274,Close-up,Worm's Eye View
275,Close-up,Worm's Eye View
276,Close-up,Worm's Eye View
277,Close-up,Worm's Eye View
278,Close-up,Worm's Eye View
279,Close-up,Worm's Eye View
280,Close-up,Worm's Eye View
281,Close-up,Worm's Eye View
282,Close-up,Worm's Eye View
283,Close-up,Worm's Eye View
284,Close-up,Worm's Eye View
285,Close-up,Worm's Eye View
286,Close-up,Worm's Eye View
287,Close-up,Worm's Eye View
288,Close-up,Worm's Eye View
289,Close-up,Worm's Eye View
290,Close-up,Worm's Eye View
291,Close-up,Worm's Eye View
292,Close-up,Worm's Eye View
293,Close-up,Worm's Eye View
294,Close-up,Worm's Eye View
295,Close-up,Worm's Eye View
296,Close-up,Worm's Eye View
297,Close-up,Worm's Eye View
298,Close-up,Worm's Eye View
299,Close-up,Worm's Eye View
300,Close-up,Worm's Eye View
301,Close-up,Worm's Eye View
302,Close-up,Worm's Eye View
303,Close-up,Worm's Eye View
304,Close-up,Worm's Eye View
305,Close-up,Worm's Eye View
306,Close-up,Worm's Eye View
307,Close-up,Worm's Eye View
308,Close-up,Worm's Eye View
309,Close-up,Worm's Eye View
310,Close-up,Worm's Eye View
311,Close-up,High Angle
312,Close-up,Worm's Eye View
313,Close-up,Worm's Eye View
314,Close-up,Worm's Eye View
315,Close-up,Worm's Eye View
316,Close-up,Worm's Eye View
317,Close-up,Worm's Eye View
318,Close-up,Worm's Eye View
319,Close-up,Worm's Eye View
320,Close-up,Worm's Eye View
321,Close-up,Worm's Eye View
322,Close-up,Worm's Eye View
323,Close-up,Worm's Eye View
324,Close-up,Worm's Eye View
325,Close-up,Worm's Eye View
326,Close-up,Worm's Eye View
327,Close-up,Worm's Eye View
328,Close-up,Worm's Eye View
329,Close-up,Worm's Eye View
330,Close-up,Worm's Eye View
331,Close-up,Worm's Eye View
332,Close-up,Worm's Eye View
333,Close-up,Worm's Eye View
334,Close-up,Worm's Eye View
335,Close-up,Worm's Eye View
336,Close-up,Worm's Eye View
337,Close-up,Worm's Eye View
338,Close-up,Worm's Eye View
339,Close-up,Worm's Eye View
340,Close-up,Worm's Eye View
341,Close-up,Worm's Eye View
342,Close-up,Worm's Eye View
343,Close-up,Worm's Eye View
344,Close-up,Worm's Eye View
345,Close-up,Worm's Eye View
346,Close-up,Worm's Eye View
347,Close-up,Worm's Eye View
348,Close-up,Worm's Eye View
349,Close-up,Worm's Eye View
350,Close-up,Worm's Eye View
351,Close-up,Worm's Eye View
352,Close-up,Worm's Eye View
353,Close-up,High Angle
354,Close-up,High Angle
355,Close-up,High Angle
356,Close-up,Worm's Eye View
357,Close-up,Worm's Eye View
358,Close-up,Worm's Eye View
359,Close-up,Worm's Eye View
360,Close-up,Worm's Eye View
361,Close-up,Worm's Eye View
362,Close-up,Worm's Eye View
363,Close-up,Worm's Eye View
364,Close-up,Worm's Eye View
365,Close-up,Worm's Eye View
366,Close-up,Worm's Eye View
367,Medium Shot,Low Angle
368,Medium Shot,Low Angle
369,Medium Shot,Low Angle
370,Medium Shot,Bird's Eye View
371,Medium Shot,Bird's Eye View
372,Medium Shot,Bird's Eye View
373,Medium Shot,Bird's Eye View
374,Medium Shot,Bird's Eye View
375,Medium Shot,Worm's Eye View
376,Medium Shot,Bird's Eye View
377,Medium Shot,Eye Level
378,Medium Shot,Bird's Eye View
379,Medium Shot,Eye Level
380,Medium Shot,Eye Level
381,Medium Shot,Worm's Eye View
382,Medium Shot,Eye Level
383,Medium Shot,Eye Level
384,Medium Shot,Eye Level
385,Medium Shot,Low Angle
386,Medium Shot,High Angle
387,Medium Shot,High Angle
388,Medium Shot,High Angle
389,Medium Shot,High Angle
390,Medium Shot,High Angle
391,Medium Shot,Low Angle
392,Medium Shot,High Angle
393,Medium Shot,High Angle
394,Medium Shot,High Angle
395,Medium Shot,High Angle
396,Medium Shot,Low Angle
397,Medium Shot,High Angle
398,Medium Shot,High Angle
399,Medium Shot,High Angle
400,Medium Shot,High Angle
401,Medium Shot,High Angle
402,Medium Shot,High Angle
403,Medium Shot,High Angle
404,Medium Shot,High Angle
