Frame,Angle,Level
944,Medium Shot,Eye Level
945,Medium Shot,Eye Level
946,Medium Shot,Eye Level
947,Medium Shot,Eye Level
948,Medium Shot,Eye Level
949,Medium Shot,Eye Level
950,Medium Shot,Eye Level
951,Medium Shot,Eye Level
952,Medium Shot,Eye Level
953,Medium Shot,Eye Level
954,Medium Shot,Eye Level
955,Medium Shot,Eye Level
956,Medium Shot,Eye Level
957,Medium Shot,Eye Level
958,Medium Shot,Eye Level
959,Medium Shot,Eye Level
960,Medium Shot,Eye Level
961,Medium Shot,Eye Level
962,Medium Shot,Eye Level
963,Medium Shot,Eye Level
964,Medium Shot,Eye Level
965,Medium Shot,Eye Level
966,Medium Shot,Eye Level
967,Medium Shot,Eye Level
968,Medium Shot,Eye Level
969,Medium Shot,Eye Level
970,Medium Shot,Eye Level
971,Medium Shot,Eye Level
972,Medium Shot,Eye Level
973,Medium Shot,Eye Level
974,Medium Shot,Eye Level
975,Medium Shot,Eye Level
976,Medium Shot,Eye Level
977,Medium Shot,Eye Level
978,Medium Shot,Eye Level
979,Medium Shot,Eye Level
980,Medium Shot,Eye Level
981,Medium Shot,Eye Level
982,Medium Shot,Eye Level
983,Medium Shot,Eye Level
984,Medium Shot,Eye Level
985,Medium Shot,Eye Level
986,Medium Shot,Eye Level
987,Medium Shot,Eye Level
988,Medium Shot,Eye Level
989,Medium Shot,Eye Level
990,Medium Shot,Eye Level
991,Medium Shot,Eye Level
992,Medium Shot,Eye Level
993,Medium Shot,Eye Level
994,Medium Shot,Eye Level
995,Medium Shot,Eye Level
996,Medium Shot,Eye Level
997,Medium Shot,Eye Level
998,Medium Shot,Eye Level
999,Medium Shot,Eye Level
1000,Medium Shot,Eye Level
1001,Medium Shot,Eye Level
1002,Medium Shot,Eye Level
1003,Medium Shot,Eye Level
1004,Medium Shot,Eye Level
1005,Medium Shot,Eye Level
1006,Medium Shot,Eye Level
1007,Medium Shot,Eye Level
1008,Medium Shot,Eye Level
1009,Medium Shot,High Angle
1010,Medium Shot,High Angle
1011,Medium Shot,High Angle
1012,Medium Shot,High Angle
1013,Close-up,High Angle
1014,Medium Shot,High Angle
1015,Medium Shot,High Angle
1016,Medium Shot,High Angle
1017,Medium Shot,High Angle
1018,Medium Shot,High Angle
1019,Medium Shot,High Angle
1020,Medium Shot,High Angle
1021,Medium Shot,High Angle
1022,Medium Shot,High Angle
1023,Medium Shot,Low Angle
1024,Medium Shot,Dutch Tilt
1025,Medium Shot,Dutch Tilt
1026,Medium Shot,Worm's Eye View
1027,Medium Shot,Worm's Eye View
1028,Medium Shot,Worm's Eye View
1029,Medium Shot,Worm's Eye View
1030,Medium Shot,Worm's Eye View
1031,Medium Shot,Worm's Eye View
1032,Medium Shot,Worm's Eye View
1033,Medium Shot,Worm's Eye View
1034,Medium Shot,Worm's Eye View
1035,Medium Shot,Worm's Eye View
1036,Medium Shot,Worm's Eye View
1037,Close-up,Worm's Eye View
1038,Close-up,Worm's Eye View
1039,Close-up,Worm's Eye View
1040,Close-up,Worm's Eye View
1041,Close-up,Worm's Eye View
1042,Close-up,Worm's Eye View
1043,Close-up,Worm's Eye View
1044,Close-up,Worm's Eye View
1045,Close-up,Worm's Eye View
1046,Close-up,Worm's Eye View
1047,Close-up,Worm's Eye View
1048,Close-up,Worm's Eye View
1049,Close-up,Worm's Eye View
1050,Close-up,Worm's Eye View
1051,Close-up,Worm's Eye View
1052,Close-up,Worm's Eye View
1053,Close-up,Worm's Eye View
1054,Close-up,Worm's Eye View
1055,Close-up,Worm's Eye View
1056,Close-up,Worm's Eye View
1057,Close-up,Worm's Eye View
1058,Medium Shot,Worm's Eye View
1059,Close-up,Worm's Eye View
1060,Close-up,Worm's Eye View
1061,Medium Shot,Worm's Eye View
1062,Medium Shot,Worm's Eye View
1063,Medium Shot,Worm's Eye View
1064,Medium Shot,Worm's Eye View
1065,Medium Shot,Eye Level
1066,Close-up,Eye Level
1067,Medium Shot,Eye Level
1068,Close-up,Eye Level
1069,Close-up,Eye Level
1070,Close-up,Eye Level
1071,Close-up,Eye Level
1072,Close-up,Eye Level
1073,Close-up,High Angle
1074,Close-up,Eye Level
1075,Close-up,Eye Level
1076,Close-up,Eye Level
1077,Close-up,Eye Level
1078,Close-up,Eye Level
1079,Close-up,Eye Level
1080,Close-up,Eye Level
1081,Close-up,Eye Level
1082,Close-up,Eye Level
1083,Medium Shot,Eye Level
1084,Close-up,Eye Level
1085,Close-up,Eye Level
1086,Close-up,Eye Level
1087,Close-up,Eye Level
1088,Close-up,Eye Level
1089,Close-up,Eye Level
1090,Close-up,Eye Level
1091,Close-up,Eye Level
1092,Close-up,Eye Level
1093,Close-up,Eye Level
1094,Close-up,Eye Level
1095,Close-up,Eye Level
1096,Close-up,Eye Level
1097,Close-up,Eye Level
1098,Close-up,Eye Level
1099,Close-up,High Angle
1100,Medium Shot,Eye Level
1101,Close-up,Eye Level
1102,Close-up,Eye Level
1103,Close-up,Eye Level
1104,Close-up,Eye Level
1105,Medium Shot,Eye Level
1106,Medium Shot,Eye Level
1107,Medium Shot,Eye Level
1108,Medium Shot,Worm's Eye View
1109,Medium Shot,Worm's Eye View
1110,Medium Shot,Worm's Eye View
1111,Medium Shot,Worm's Eye View
1112,Medium Shot,Worm's Eye View
1113,Medium Shot,Worm's Eye View
1114,Close-up,Worm's Eye View
1115,Medium Shot,Worm's Eye View
1116,Close-up,Worm's Eye View
1117,Close-up,Worm's Eye View
1118,Close-up,Worm's Eye View
1119,Close-up,Worm's Eye View
1120,Close-up,Worm's Eye View
1121,Medium Shot,High Angle
1122,Medium Shot,Worm's Eye View
1123,Close-up,High Angle
1124,Medium Shot,High Angle
1125,Medium Shot,High Angle
1126,Medium Shot,Eye Level
1127,Medium Shot,Eye Level
1128,Close-up,Eye Level
1129,Close-up,Eye Level
1130,Close-up,Eye Level
1131,Close-up,Eye Level
1132,Close-up,Eye Level
1133,Medium Shot,Eye Level
1134,Medium Shot,Eye Level
1135,Medium Shot,Eye Level
1136,Medium Shot,Eye Level
1137,Medium Shot,Eye Level
1138,Medium Shot,Eye Level
1139,Medium Shot,Eye Level
1140,Medium Shot,Eye Level
1141,Medium Shot,Eye Level
1142,Medium Shot,Eye Level
1143,Close-up,Eye Level
1144,Close-up,Eye Level
1145,Close-up,Eye Level
1146,Close-up,Eye Level
1147,Close-up,Eye Level
1148,Close-up,Eye Level
1149,Close-up,Eye Level
1150,Medium Shot,Eye Level
1151,Medium Shot,Eye Level
1152,Medium Shot,Eye Level
1153,Medium Shot,Eye Level
1154,Medium Shot,Eye Level
1155,Medium Shot,Worm's Eye View
1156,Medium Shot,Worm's Eye View
1157,Medium Shot,Eye Level
1158,Medium Shot,Eye Level
1159,Medium Shot,Worm's Eye View
1160,Medium Shot,Worm's Eye View
1161,Medium Shot,Worm's Eye View
1162,Medium Shot,Worm's Eye View
1163,Medium Shot,Worm's Eye View
1164,Medium Shot,Worm's Eye View
1165,Medium Shot,Worm's Eye View
1166,Medium Shot,Worm's Eye View
1167,Medium Shot,Worm's Eye View
1168,Medium Shot,Worm's Eye View
1169,Medium Shot,Worm's Eye View
1170,Medium Shot,Worm's Eye View
1171,Medium Shot,Worm's Eye View
1172,Medium Shot,Worm's Eye View
1173,Medium Shot,Worm's Eye View
1174,Medium Shot,Worm's Eye View
1175,Medium Shot,Worm's Eye View
1176,Medium Shot,Worm's Eye View
1177,Medium Shot,Worm's Eye View
1178,Medium Shot,Worm's Eye View
1179,Medium Shot,Worm's Eye View
1180,Medium Shot,Worm's Eye View
1181,Medium Shot,Worm's Eye View
1182,Medium Shot,Worm's Eye View
1183,Medium Shot,Worm's Eye View
1184,Medium Shot,Worm's Eye View
1185,Medium Shot,Worm's Eye View
1186,Medium Shot,Worm's Eye View
1187,Medium Shot,Worm's Eye View
1188,Medium Shot,Worm's Eye View
1189,Medium Shot,Worm's Eye View
1190,Medium Shot,Worm's Eye View
1191,Medium Shot,Worm's Eye View
1192,Medium Shot,Worm's Eye View
1193,Medium Shot,Worm's Eye View
1194,Medium Shot,Worm's Eye View
1195,Medium Shot,Worm's Eye View
1196,Medium Shot,Worm's Eye View
1197,Medium Shot,Worm's Eye View
1198,Medium Shot,Worm's Eye View
1199,Medium Shot,Worm's Eye View
1200,Medium Shot,Worm's Eye View
1201,Medium Shot,Worm's Eye View
1202,Medium Shot,Worm's Eye View
1203,Medium Shot,Worm's Eye View
1204,Medium Shot,Worm's Eye View
1205,Medium Shot,Worm's Eye View
1206,Medium Shot,Worm's Eye View
1207,Medium Shot,Worm's Eye View
1208,Medium Shot,Worm's Eye View
1209,Medium Shot,Worm's Eye View
1210,Medium Shot,Worm's Eye View
1211,Medium Shot,Worm's Eye View
1212,Medium Shot,Worm's Eye View
1213,Medium Shot,Worm's Eye View
1214,Medium Shot,Worm's Eye View
1215,Medium Shot,Worm's Eye View
1216,Medium Shot,Worm's Eye View
1217,Medium Shot,Worm's Eye View
1218,Medium Shot,Worm's Eye View
1219,Medium Shot,Worm's Eye View
1220,Medium Shot,Worm's Eye View
1221,Medium Shot,Worm's Eye View
1222,Medium Shot,Worm's Eye View
1223,Medium Shot,Worm's Eye View
1224,Medium Shot,Worm's Eye View
1225,Medium Shot,Worm's Eye View
1226,Medium Shot,Worm's Eye View
1227,Medium Shot,Worm's Eye View
1228,Medium Shot,Worm's Eye View
1229,Medium Shot,Worm's Eye View
1230,Medium Shot,Worm's Eye View
1231,Medium Shot,Worm's Eye View
1232,Medium Shot,Worm's Eye View
1233,Medium Shot,Worm's Eye View
1234,Medium Shot,Worm's Eye View
1235,Medium Shot,Worm's Eye View
1236,Medium Shot,Worm's Eye View
1237,Medium Shot,Worm's Eye View
1238,Medium Shot,Worm's Eye View
1239,Medium Shot,Worm's Eye View
1240,Medium Shot,Worm's Eye View
1241,Medium Shot,Worm's Eye View
1242,Medium Shot,Worm's Eye View
1243,Medium Shot,Worm's Eye View
1244,Medium Shot,Worm's Eye View
1245,Medium Shot,Worm's Eye View
1246,Medium Shot,Worm's Eye View
1247,Medium Shot,Worm's Eye View
1248,Medium Shot,Worm's Eye View
1249,Medium Shot,Worm's Eye View
1250,Medium Shot,Worm's Eye View
1251,Medium Shot,Worm's Eye View
1252,Medium Shot,Worm's Eye View
1253,Medium Shot,Worm's Eye View
1254,Medium Shot,Worm's Eye View
1255,Medium Shot,Worm's Eye View
1256,Medium Shot,Worm's Eye View
1257,Medium Shot,Worm's Eye View
1258,Medium Shot,Worm's Eye View
1259,Medium Shot,Worm's Eye View
1260,Medium Shot,Worm's Eye View
1261,Medium Shot,Worm's Eye View
1262,Medium Shot,Worm's Eye View
1263,Medium Shot,Worm's Eye View
1264,Medium Shot,Worm's Eye View
1265,Medium Shot,Worm's Eye View
1266,Medium Shot,Worm's Eye View
1267,Medium Shot,Worm's Eye View
1268,Medium Shot,Worm's Eye View
1269,Medium Shot,Worm's Eye View
1270,Medium Shot,Worm's Eye View
1271,Medium Shot,Worm's Eye View
1272,Medium Shot,Worm's Eye View
1273,Medium Shot,Worm's Eye View
1274,Medium Shot,Worm's Eye View
1275,Medium Shot,Worm's Eye View
1276,Medium Shot,Worm's Eye View
1277,Medium Shot,Worm's Eye View
1278,Medium Shot,Worm's Eye View
1279,Medium Shot,Worm's Eye View
1280,Medium Shot,Worm's Eye View
1281,Medium Shot,Worm's Eye View
1282,Medium Shot,Worm's Eye View
1283,Medium Shot,Worm's Eye View
1284,Medium Shot,Worm's Eye View
1285,Medium Shot,Worm's Eye View
1286,Medium Shot,Worm's Eye View
1287,Medium Shot,Worm's Eye View
1288,Medium Shot,Worm's Eye View
1289,Medium Shot,Worm's Eye View
1290,Medium Shot,Worm's Eye View
1291,Medium Shot,Worm's Eye View
1292,Medium Shot,Worm's Eye View
1293,Medium Shot,Worm's Eye View
1294,Medium Shot,Worm's Eye View
1295,Medium Shot,Worm's Eye View
1296,Medium Shot,Worm's Eye View
1297,Medium Shot,Worm's Eye View
1298,Medium Shot,Worm's Eye View
1299,Medium Shot,Worm's Eye View
1300,Medium Shot,Worm's Eye View
1301,Medium Shot,Worm's Eye View
1302,Medium Shot,Worm's Eye View
1303,Medium Shot,Worm's Eye View
1304,Medium Shot,Worm's Eye View
1305,Medium Shot,Worm's Eye View
1306,Medium Shot,Worm's Eye View
1307,Medium Shot,Worm's Eye View
1308,Medium Shot,Worm's Eye View
1309,Medium Shot,Worm's Eye View
1310,Medium Shot,Worm's Eye View
1311,Medium Shot,Worm's Eye View
1312,Medium Shot,Worm's Eye View
1313,Medium Shot,Worm's Eye View
1314,Medium Shot,Worm's Eye View
1315,Medium Shot,Worm's Eye View
1316,Medium Shot,Worm's Eye View
1317,Medium Shot,Worm's Eye View
1318,Medium Shot,Worm's Eye View
1319,Medium Shot,Worm's Eye View
1320,Medium Shot,Worm's Eye View
1321,Medium Shot,Worm's Eye View
1322,Medium Shot,Worm's Eye View
1323,Medium Shot,Worm's Eye View
1324,Medium Shot,Worm's Eye View
1325,Medium Shot,Worm's Eye View
1326,Medium Shot,Worm's Eye View
1327,Medium Shot,Worm's Eye View
1328,Medium Shot,Worm's Eye View
1329,Medium Shot,Worm's Eye View
1330,Medium Shot,Worm's Eye View
1331,Medium Shot,Worm's Eye View
1332,Medium Shot,Worm's Eye View
1333,Medium Shot,Worm's Eye View
1334,Medium Shot,Worm's Eye View
1335,Medium Shot,Worm's Eye View
1336,Medium Shot,Worm's Eye View
1337,Medium Shot,Worm's Eye View
1338,Medium Shot,Worm's Eye View
1339,Medium Shot,Worm's Eye View
1340,Medium Shot,Worm's Eye View
1341,Medium Shot,Worm's Eye View
1342,Medium Shot,Worm's Eye View
1343,Medium Shot,Worm's Eye View
1344,Medium Shot,Worm's Eye View
1345,Medium Shot,Worm's Eye View
1346,Medium Shot,Worm's Eye View
1347,Medium Shot,Worm's Eye View
1348,Medium Shot,Worm's Eye View
1349,Medium Shot,Worm's Eye View
1350,Medium Shot,Worm's Eye View
1351,Medium Shot,Worm's Eye View
1352,Medium Shot,Dutch Tilt
1353,Medium Shot,Dutch Tilt
1354,Medium Shot,Dutch Tilt
1355,Medium Shot,Dutch Tilt
1356,Medium Shot,Dutch Tilt
1357,Medium Shot,Dutch Tilt
1358,Medium Shot,Dutch Tilt
1359,Medium Shot,Dutch Tilt
1360,Medium Shot,Dutch Tilt
1361,Medium Shot,Dutch Tilt
1362,Medium Shot,Dutch Tilt
1363,Medium Shot,Dutch Tilt
1364,Medium Shot,Dutch Tilt
1365,Medium Shot,Dutch Tilt
1366,Medium Shot,Dutch Tilt
1367,Medium Shot,Dutch Tilt
1368,Medium Shot,Worm's Eye View
1369,Medium Shot,Worm's Eye View
1370,Medium Shot,Worm's Eye View
1371,Medium Shot,Worm's Eye View
1372,Medium Shot,Worm's Eye View
1373,Medium Shot,Worm's Eye View
1374,Medium Shot,Worm's Eye View
1375,Medium Shot,Worm's Eye View
1376,Medium Shot,Worm's Eye View
1377,Medium Shot,Worm's Eye View
1378,Medium Shot,Worm's Eye View
1379,Medium Shot,Worm's Eye View
1380,Medium Shot,Worm's Eye View
1381,Medium Shot,Worm's Eye View
1382,Medium Shot,Worm's Eye View
1383,Medium Shot,Worm's Eye View
1384,Medium Shot,Worm's Eye View
1385,Medium Shot,Worm's Eye View
1386,Medium Shot,Worm's Eye View
1387,Medium Shot,Worm's Eye View
1388,Medium Shot,Worm's Eye View
1389,Medium Shot,Worm's Eye View
1390,Medium Shot,Worm's Eye View
1391,Medium Shot,Worm's Eye View
1392,Medium Shot,Worm's Eye View
1393,Medium Shot,Worm's Eye View
1394,Medium Shot,Worm's Eye View
1395,Medium Shot,Worm's Eye View
1396,Medium Shot,Worm's Eye View
1397,Medium Shot,Worm's Eye View
1398,Medium Shot,Worm's Eye View
1399,Medium Shot,Worm's Eye View
1400,Medium Shot,Worm's Eye View
1401,Medium Shot,Worm's Eye View
1402,Medium Shot,Worm's Eye View
1403,Medium Shot,Worm's Eye View
1404,Medium Shot,Worm's Eye View
1405,Medium Shot,Worm's Eye View
1406,Medium Shot,Worm's Eye View
1407,Medium Shot,Worm's Eye View
1408,Medium Shot,Worm's Eye View
1409,Medium Shot,Worm's Eye View
1410,Medium Shot,Worm's Eye View
1411,Medium Shot,Worm's Eye View
1412,Medium Shot,Worm's Eye View
1413,Medium Shot,Worm's Eye View
1414,Medium Shot,Worm's Eye View
1415,Medium Shot,Worm's Eye View
1416,Medium Shot,Worm's Eye View
1417,Medium Shot,Worm's Eye View
1418,Medium Shot,Worm's Eye View
1419,Medium Shot,Worm's Eye View
1420,Medium Shot,Worm's Eye View
1421,Medium Shot,Worm's Eye View
1422,Medium Shot,Worm's Eye View
1423,Medium Shot,Worm's Eye View
1424,Medium Shot,Worm's Eye View
1425,Medium Shot,Worm's Eye View
1426,Medium Shot,Worm's Eye View
1427,Medium Shot,Worm's Eye View
1428,Medium Shot,Worm's Eye View
1429,Medium Shot,Worm's Eye View
1430,Medium Shot,Worm's Eye View
1431,Medium Shot,Worm's Eye View
1432,Medium Shot,Worm's Eye View
1433,Medium Shot,Worm's Eye View
1434,Medium Shot,Worm's Eye View
1435,Medium Shot,Worm's Eye View
1436,Medium Shot,Worm's Eye View
1437,Medium Shot,Worm's Eye View
1438,Medium Shot,Worm's Eye View
1439,Medium Shot,Worm's Eye View
1440,Close-up,Worm's Eye View
1441,Close-up,Worm's Eye View
1442,Medium Shot,Eye Level
1443,Medium Shot,Eye Level
1444,Medium Shot,Eye Level
1445,Medium Shot,Eye Level
1446,Medium Shot,Worm's Eye View
1447,Medium Shot,Worm's Eye View
1448,Medium Shot,Worm's Eye View
1449,Close-up,Worm's Eye View
1450,Medium Shot,Worm's Eye View
1451,Close-up,Worm's Eye View
1452,Close-up,High Angle
1453,Close-up,High Angle
1454,Close-up,Worm's Eye View
1455,Close-up,Worm's Eye View
1456,Close-up,Worm's Eye View
1457,Close-up,High Angle
1458,Close-up,High Angle
1459,Close-up,High Angle
1460,Close-up,High Angle
1461,Medium Shot,High Angle
1462,Close-up,High Angle
1463,Close-up,High Angle
1464,Close-up,High Angle
1465,Close-up,High Angle
1466,Close-up,Eye Level
1467,Close-up,Worm's Eye View
1468,Medium Shot,High Angle
1469,Close-up,Eye Level
1470,Close-up,Eye Level
1471,Close-up,Eye Level
1472,Close-up,Eye Level
1473,Medium Shot,Eye Level
1474,Close-up,Eye Level
1475,Close-up,Eye Level
1476,Close-up,Eye Level
1477,Close-up,Eye Level
1478,Close-up,Eye Level
1479,Close-up,Eye Level
1480,Close-up,Eye Level
1481,Close-up,Eye Level
1482,Close-up,Eye Level
1483,Close-up,Eye Level
1484,Medium Shot,Dutch Tilt
1485,Medium Shot,Dutch Tilt
1486,Medium Shot,Dutch Tilt
1487,Medium Shot,Dutch Tilt
1488,Medium Shot,Dutch Tilt
1489,Medium Shot,Dutch Tilt
1490,Medium Shot,Worm's Eye View
1491,Medium Shot,Worm's Eye View
1492,Medium Shot,Worm's Eye View
1493,Medium Shot,Worm's Eye View
1494,Medium Shot,Worm's Eye View
1495,Medium Shot,Worm's Eye View
1496,Medium Shot,Worm's Eye View
1497,Medium Shot,Worm's Eye View
1498,Medium Shot,Worm's Eye View
1499,Medium Shot,Worm's Eye View
1500,Medium Shot,Worm's Eye View
1501,Medium Shot,Worm's Eye View
1502,Medium Shot,Worm's Eye View
1503,Medium Shot,Worm's Eye View
1504,Medium Shot,Worm's Eye View
1505,Medium Shot,Worm's Eye View
1506,Medium Shot,Worm's Eye View
1507,Medium Shot,Worm's Eye View
1508,Medium Shot,Worm's Eye View
1509,Medium Shot,Worm's Eye View
1510,Medium Shot,Worm's Eye View
1511,Medium Shot,Worm's Eye View
1512,Medium Shot,Worm's Eye View
1513,Medium Shot,Worm's Eye View
1514,Medium Shot,Worm's Eye View
1515,Medium Shot,Worm's Eye View
1516,Medium Shot,Worm's Eye View
1517,Medium Shot,Worm's Eye View
1518,Medium Shot,Dutch Tilt
1519,Medium Shot,Dutch Tilt
1520,Medium Shot,Dutch Tilt
1521,Medium Shot,Dutch Tilt
1522,Medium Shot,Dutch Tilt
1523,Medium Shot,Dutch Tilt
1524,Medium Shot,Dutch Tilt
1525,Medium Shot,Dutch Tilt
1526,Medium Shot,Dutch Tilt
1527,Medium Shot,Dutch Tilt
1528,Medium Shot,Dutch Tilt
1529,Medium Shot,Worm's Eye View
1530,Medium Shot,Worm's Eye View
1531,Medium Shot,Dutch Tilt
1532,Medium Shot,Dutch Tilt
1533,Medium Shot,Dutch Tilt
1534,Medium Shot,Dutch Tilt
1535,Medium Shot,Dutch Tilt
1536,Medium Shot,Dutch Tilt
1537,Medium Shot,Dutch Tilt
1538,Medium Shot,Dutch Tilt
1539,Medium Shot,Dutch Tilt
1540,Medium Shot,Dutch Tilt
1541,Medium Shot,Dutch Tilt
1542,Medium Shot,Dutch Tilt
1543,Medium Shot,Dutch Tilt
1544,Medium Shot,Dutch Tilt
1545,Medium Shot,Dutch Tilt
1546,Medium Shot,Dutch Tilt
1547,Medium Shot,Worm's Eye View
1548,Medium Shot,Worm's Eye View
1549,Medium Shot,Worm's Eye View
1550,Medium Shot,Worm's Eye View
1551,Medium Shot,Worm's Eye View
1552,Medium Shot,Worm's Eye View
1553,Medium Shot,Dutch Tilt
1554,Medium Shot,Dutch Tilt
1555,Medium Shot,Worm's Eye View
1556,Medium Shot,Dutch Tilt
1557,Medium Shot,Dutch Tilt
1558,Medium Shot,Dutch Tilt
1559,Medium Shot,Worm's Eye View
1560,Medium Shot,Worm's Eye View
1561,Medium Shot,Worm's Eye View
1562,Medium Shot,Worm's Eye View
1563,Medium Shot,Worm's Eye View
1564,Medium Shot,Worm's Eye View
1565,Medium Shot,Worm's Eye View
1566,Medium Shot,Worm's Eye View
1567,Medium Shot,Worm's Eye View
1568,Medium Shot,Worm's Eye View
1569,Medium Shot,Worm's Eye View
1570,Medium Shot,Worm's Eye View
1571,Medium Shot,Worm's Eye View
1572,Medium Shot,Worm's Eye View
1573,Medium Shot,Worm's Eye View
1574,Medium Shot,Worm's Eye View
1575,Medium Shot,Worm's Eye View
1576,Medium Shot,Worm's Eye View
1577,Medium Shot,Worm's Eye View
1578,Medium Shot,Worm's Eye View
1579,Medium Shot,Worm's Eye View
1580,Medium Shot,Worm's Eye View
1581,Medium Shot,Worm's Eye View
1582,Medium Shot,Worm's Eye View
1583,Medium Shot,Worm's Eye View
1584,Medium Shot,Worm's Eye View
1585,Medium Shot,Worm's Eye View
1586,Medium Shot,Worm's Eye View
1587,Medium Shot,Worm's Eye View
1588,Medium Shot,Worm's Eye View
1589,Medium Shot,Worm's Eye View
1590,Close-up,Worm's Eye View
1591,Close-up,Worm's Eye View
1592,Medium Shot,High Angle
1593,Medium Shot,High Angle
1594,Medium Shot,High Angle
1595,Medium Shot,High Angle
1596,Medium Shot,High Angle
1597,Medium Shot,High Angle
1598,Medium Shot,High Angle
1599,Medium Shot,High Angle
1600,Medium Shot,High Angle
1601,Medium Shot,High Angle
1602,Medium Shot,High Angle
1603,Close-up,High Angle
1604,Medium Shot,High Angle
1605,Medium Shot,High Angle
1606,Close-up,High Angle
1607,Close-up,High Angle
1608,Close-up,High Angle
1609,Medium Shot,Worm's Eye View
1610,Medium Shot,High Angle
1611,Medium Shot,High Angle
1612,Medium Shot,High Angle
1613,Medium Shot,High Angle
1614,Medium Shot,High Angle
1615,Medium Shot,High Angle
1616,Medium Shot,High Angle
1617,Medium Shot,High Angle
1618,Medium Shot,High Angle
1619,Medium Shot,High Angle
1620,Medium Shot,High Angle
1621,Medium Shot,High Angle
1622,Medium Shot,High Angle
1623,Medium Shot,High Angle
1624,Close-up,High Angle
1625,Close-up,High Angle
1626,Close-up,High Angle
1627,Close-up,High Angle
1628,Close-up,High Angle
1629,Close-up,High Angle
1630,Close-up,High Angle
1631,Close-up,High Angle
1632,Medium Shot,High Angle
1633,Medium Shot,High Angle
1634,Close-up,High Angle
1635,Close-up,High Angle
1636,Close-up,Worm's Eye View
1637,Close-up,Worm's Eye View
1638,Close-up,Worm's Eye View
1639,Close-up,Worm's Eye View
1640,Close-up,High Angle
1641,Medium Shot,High Angle
1642,Close-up,High Angle
1643,Close-up,High Angle
1644,Close-up,High Angle
1645,Close-up,High Angle
1646,Medium Shot,Worm's Eye View
1647,Medium Shot,Worm's Eye View
1648,Medium Shot,Worm's Eye View
1649,Medium Shot,Worm's Eye View
1650,Medium Shot,Worm's Eye View
1651,Medium Shot,Worm's Eye View
1652,Medium Shot,Worm's Eye View
1653,Medium Shot,Worm's Eye View
1654,Medium Shot,Worm's Eye View
1655,Medium Shot,Worm's Eye View
1656,Medium Shot,Worm's Eye View
1657,Medium Shot,Worm's Eye View
1658,Medium Shot,Worm's Eye View
1659,Close-up,High Angle
1660,Close-up,High Angle
1661,Close-up,High Angle
1662,Close-up,High Angle
1663,Close-up,High Angle
1664,Close-up,High Angle
1665,Close-up,High Angle
1666,Close-up,High Angle
1667,Close-up,High Angle
1668,Close-up,High Angle
1669,Close-up,High Angle
1670,Close-up,High Angle
1671,Close-up,High Angle
1672,Close-up,High Angle
1673,Close-up,High Angle
1674,Close-up,High Angle
1675,Close-up,High Angle
1676,Close-up,High Angle
1677,Close-up,High Angle
1678,Close-up,High Angle
1679,Close-up,High Angle
1680,Medium Shot,High Angle
1681,Medium Shot,High Angle
1682,Close-up,High Angle
1683,Medium Shot,High Angle
1684,Medium Shot,High Angle
1685,Medium Shot,High Angle
1686,Close-up,High Angle
1687,Close-up,High Angle
1688,Close-up,High Angle
1689,Close-up,High Angle
1690,Close-up,High Angle
1691,Close-up,High Angle
1692,Close-up,High Angle
1693,Close-up,High Angle
1694,Close-up,High Angle
1695,Close-up,High Angle
1696,Close-up,High Angle
1697,Close-up,High Angle
1698,Close-up,High Angle
1699,Close-up,High Angle
1700,Close-up,High Angle
1701,Close-up,High Angle
1702,Close-up,High Angle
1703,Close-up,High Angle
1704,Close-up,High Angle
1705,Close-up,High Angle
1706,Close-up,High Angle
1707,Close-up,High Angle
1708,Close-up,High Angle
1709,Close-up,High Angle
1710,Close-up,High Angle
1711,Close-up,High Angle
1712,Close-up,High Angle
1713,Close-up,High Angle
1714,Close-up,High Angle
1715,Close-up,High Angle
1716,Close-up,High Angle
1717,Close-up,High Angle
1718,Close-up,High Angle
1719,Close-up,High Angle
1720,Close-up,High Angle
1721,Close-up,High Angle
1722,Close-up,High Angle
1723,Close-up,High Angle
1724,Close-up,High Angle
1725,Close-up,High Angle
1726,Close-up,High Angle
1727,Close-up,High Angle
1728,Close-up,High Angle
1729,Close-up,High Angle
1730,Close-up,High Angle
1731,Close-up,High Angle
1732,Close-up,High Angle
1733,Close-up,High Angle
1734,Close-up,High Angle
1735,Close-up,High Angle
1736,Close-up,High Angle
1737,Close-up,High Angle
1738,Close-up,High Angle
1739,Close-up,High Angle
1740,Close-up,High Angle
1741,Close-up,High Angle
1742,Close-up,High Angle
1743,Close-up,High Angle
1744,Close-up,High Angle
1745,Close-up,High Angle
1746,Close-up,High Angle
1747,Close-up,High Angle
1748,Close-up,High Angle
1749,Close-up,High Angle
1750,Close-up,High Angle
1751,Close-up,High Angle
1752,Close-up,High Angle
1753,Close-up,High Angle
1754,Close-up,High Angle
1755,Close-up,High Angle
1756,Close-up,High Angle
1757,Close-up,High Angle
1758,Close-up,High Angle
1759,Close-up,High Angle
1760,Close-up,High Angle
1761,Close-up,High Angle
1762,Close-up,High Angle
1763,Close-up,High Angle
1764,Close-up,High Angle
1765,Close-up,High Angle
1766,Close-up,High Angle
1767,Close-up,High Angle
1768,Close-up,High Angle
1769,Close-up,High Angle
1770,Close-up,High Angle
1771,Close-up,High Angle
1772,Close-up,High Angle
1773,Close-up,High Angle
1774,Close-up,High Angle
1775,Close-up,High Angle
