Frame,Shot Scale
5851,Long Shot (LS)
5875,Long Shot (LS)
5899,Long Shot (LS)
5923,Long Shot (LS)
5947,Long Shot (LS)
5971,Long Shot (LS)
5995,Long Shot (LS)
6018,Medium Shot (MS)
6042,Medium Shot (MS)
6066,Medium Shot (MS)
6090,Medium Shot (MS)
6114,Close Shot (CS)
6138,Close Shot (CS)
6162,Medium Shot (MS)
6186,Close Shot (CS)
6210,Medium Shot (MS)
6234,Close Shot (CS)
6258,Medium Shot (MS)
6282,Close Shot (CS)
6306,Close Shot (CS)
6330,Close Shot (CS)
6354,Medium Shot (MS)
6378,Medium Shot (MS)
6402,Medium Shot (MS)
6426,Medium Shot (MS)
6450,Long Shot (LS)
6474,Medium Shot (MS)
6498,Medium Shot (MS)
6522,Medium Shot (MS)
6546,Medium Shot (MS)
6570,Close Shot (CS)
6594,Close Shot (CS)
6618,Close Shot (CS)
6642,Close Shot (CS)
6666,Medium Shot (MS)
6690,Long Shot (LS)
6714,Medium Shot (MS)
6738,Medium Shot (MS)
6762,Medium Shot (MS)
6786,Medium Shot (MS)
6810,Close Shot (CS)
6834,Medium Shot (MS)
6858,Medium Shot (MS)
6882,Medium Shot (MS)
6906,Medium Shot (MS)
6930,Medium Shot (MS)
6954,Medium Shot (MS)
6978,Medium Shot (MS)
7002,Close Shot (CS)
7026,Close Shot (CS)
7050,Close Shot (CS)
7074,Close Shot (CS)
7098,Medium Shot (MS)
7122,Medium Shot (MS)
7146,Medium Shot (MS)
7170,Medium Shot (MS)
7194,Medium Shot (MS)
7217,Medium Shot (MS)
7241,Medium Shot (MS)
7265,Medium Shot (MS)
7289,Medium Shot (MS)
7313,Medium Shot (MS)
7337,Close Shot (CS)
7361,Medium Shot (MS)
7385,Medium Shot (MS)
7409,Medium Shot (MS)
7433,Medium Shot (MS)
7457,Close Shot (CS)
7481,Close Shot (CS)
7505,Close Shot (CS)
7529,Long Shot (LS)
7553,Long Shot (LS)
7577,Long Shot (LS)
7601,Long Shot (LS)
7625,Long Shot (LS)
7649,Close Shot (CS)
7673,Close Shot (CS)
7697,Close Shot (CS)
7721,Long Shot (LS)
7745,Medium Shot (MS)
7769,Long Shot (LS)
7793,Medium Shot (MS)
7817,Close Shot (CS)
7841,Close Shot (CS)
7865,Close Shot (CS)
7889,Close Shot (CS)
7913,Close Shot (CS)
7937,Close Shot (CS)
7961,Close Shot (CS)
7985,Close Shot (CS)
8009,Close Shot (CS)
8033,Close Shot (CS)
8057,Close Shot (CS)
8081,Close Shot (CS)
